Neuron_ID,Contribution
14017,25864.0
14406,25830.0
3938,25312.0
4219,24990.0
14339,24973.0
12153,24824.0
2191,24412.0
10346,24087.0
4932,23940.0
10603,23936.0
65,23120.0
2468,22119.0
4563,21879.0
7927,21853.0
8719,21484.0
2767,21000.0
8644,20944.0
786,20832.0
50,20292.0
3896,19558.0
11446,19170.0
5988,18792.0
14567,18297.0
4939,18000.0
5292,17733.0
3251,17605.0
5907,17546.0
15912,17545.0
9027,17399.0
9726,16776.0
11568,16744.0
16032,16498.0
5578,16000.0
12241,15730.0
2735,15695.0
6706,15624.0
7182,15575.0
10760,15410.0
1572,15180.0
11638,15176.0
12908,14904.0
618,14300.0
2812,14241.0
454,14060.0
10468,13920.0
12859,13905.0
6157,13699.0
3586,13312.0
16188,13246.0
2690,13189.0
12016,13080.0
10665,13013.0
1318,12972.0
7408,12730.0
352,12726.0
1343,12600.0
6536,12556.0
9654,12540.0
15948,12513.0
7462,12495.0
4245,12259.0
14427,12096.0
7981,12090.0
10070,12078.0
1830,12000.0
3367,12000.0
4044,11869.0
11007,11660.0
6428,11628.0
4617,11592.0
9751,11567.0
8548,11297.0
2072,11178.0
8294,11110.0
6331,11020.0
15933,10962.0
1902,10788.0
843,10728.0
4444,10620.0
9794,10332.0
6001,10292.0
3495,10281.0
5621,10140.0
9616,10075.0
15016,10064.0
8328,10032.0
10009,9875.0
4524,9845.0
5728,9730.0
15004,9680.0
10781,9673.0
14633,9528.0
12909,9506.0
7763,9425.0
3107,9424.0
9262,9396.0
8547,9177.0
7404,9114.0
195,9063.0
7817,8938.0
15612,8918.0
15544,8840.0
12749,8700.0
13628,8494.0
15922,8492.0
731,8343.0
6122,8330.0
3114,8232.0
4546,8140.0
2578,8058.0
12776,7857.0
3182,7840.0
7733,7802.0
4178,7797.0
10689,7738.0
7796,7684.0
280,7684.0
5750,7632.0
4084,7560.0
8205,7434.0
15628,7416.0
5470,7380.0
16044,7343.0
10861,7134.0
8313,6966.0
11068,6930.0
3138,6930.0
2266,6867.0
9097,6864.0
7252,6734.0
308,6726.0
5968,6674.0
15275,6615.0
10307,6615.0
2797,6592.0
15657,6480.0
1842,6468.0
3163,6460.0
783,6392.0
14144,6390.0
10870,6345.0
16286,6344.0
12971,6335.0
696,6320.0
7041,6304.0
7687,6300.0
12404,6292.0
5929,6280.0
3697,6272.0
10823,6264.0
11377,6258.0
9139,6132.0
11030,6080.0
15331,6072.0
5181,6072.0
4554,6055.0
11880,6042.0
4541,6000.0
2363,5985.0
13347,5976.0
15952,5934.0
12207,5904.0
2081,5888.0
15498,5880.0
10143,5848.0
3386,5828.0
10351,5805.0
9843,5785.0
217,5782.0
13636,5740.0
9408,5715.0
13374,5664.0
6220,5632.0
12533,5565.0
868,5535.0
4559,5530.0
6235,5529.0
2139,5440.0
1767,5400.0
13249,5396.0
2582,5390.0
10826,5380.0
11582,5358.0
12676,5353.0
11229,5346.0
16089,5346.0
8612,5330.0
8344,5295.0
876,5285.0
13000,5265.0
7451,5200.0
4814,5168.0
1610,5152.0
1801,5124.0
12591,5122.0
10921,5054.0
9085,5016.0
10813,5016.0
11614,5004.0
11144,4884.0
2996,4840.0
14113,4750.0
12705,4704.0
7361,4686.0
13039,4680.0
8802,4644.0
4152,4635.0
4277,4620.0
5357,4606.0
10412,4606.0
8462,4512.0
14536,4510.0
11159,4508.0
15403,4494.0
2976,4488.0
2500,4488.0
9305,4455.0
16258,4455.0
12565,4428.0
12142,4420.0
15823,4416.0
1373,4393.0
4892,4316.0
15241,4309.0
5772,4277.0
7797,4224.0
9182,4214.0
12100,4191.0
6858,4182.0
7079,4180.0
14444,4160.0
7482,4142.0
12227,4140.0
1705,4140.0
1074,4128.0
12389,4104.0
396,4080.0
146,4074.0
15329,4074.0
3293,4067.0
3075,4040.0
1107,4025.0
12119,4000.0
1869,3996.0
4567,3978.0
14848,3960.0
3907,3939.0
15390,3920.0
11829,3913.0
4692,3900.0
11181,3886.0
8197,3813.0
11848,3810.0
14568,3800.0
16282,3783.0
6116,3776.0
15538,3759.0
5871,3752.0
13856,3737.0
3310,3713.0
5893,3712.0
3018,3710.0
14565,3696.0
15665,3692.0
7332,3668.0
13821,3640.0
9488,3629.0
2709,3626.0
15485,3616.0
4040,3612.0
2161,3588.0
9954,3577.0
11397,3570.0
10504,3564.0
10955,3552.0
4483,3552.0
5417,3549.0
14340,3535.0
266,3528.0
8527,3486.0
9476,3483.0
14746,3468.0
7423,3450.0
1080,3440.0
7630,3434.0
3454,3432.0
5583,3402.0
12713,3402.0
14632,3400.0
11327,3400.0
11886,3400.0
6086,3400.0
9011,3383.0
11862,3364.0
13172,3360.0
4516,3348.0
5312,3337.0
15320,3321.0
4910,3302.0
11484,3296.0
4029,3255.0
9874,3248.0
16231,3240.0
9289,3224.0
8975,3204.0
13135,3200.0
14491,3185.0
708,3182.0
15327,3175.0
1570,3162.0
8442,3162.0
9971,3136.0
16380,3127.0
16276,3108.0
12321,3105.0
13131,3103.0
472,3094.0
15023,3080.0
14617,3040.0
9117,3024.0
11524,3021.0
15808,3008.0
2677,2970.0
12005,2968.0
12648,2945.0
2810,2938.0
7376,2912.0
13796,2904.0
2313,2890.0
1161,2880.0
12171,2871.0
9739,2860.0
7794,2852.0
6674,2835.0
4218,2822.0
1763,2820.0
3497,2814.0
11154,2808.0
7447,2808.0
10727,2808.0
12982,2795.0
13038,2794.0
6562,2790.0
2031,2769.0
13916,2759.0
4552,2756.0
175,2752.0
15489,2747.0
14353,2739.0
5749,2730.0
3693,2728.0
7399,2727.0
8929,2720.0
997,2691.0
9792,2688.0
11917,2679.0
5018,2668.0
6034,2652.0
13708,2646.0
5205,2640.0
4423,2640.0
5106,2640.0
8723,2635.0
10466,2628.0
7631,2625.0
8092,2620.0
4325,2592.0
10328,2584.0
4911,2562.0
501,2548.0
10214,2546.0
13985,2520.0
11225,2508.0
15417,2496.0
10063,2492.0
10539,2491.0
12866,2451.0
262,2420.0
7140,2413.0
5614,2408.0
3668,2387.0
2909,2387.0
6645,2380.0
3799,2379.0
1104,2373.0
16225,2368.0
12589,2368.0
6472,2356.0
11737,2352.0
2177,2349.0
4159,2340.0
10960,2340.0
551,2324.0
8577,2322.0
2007,2312.0
130,2310.0
6343,2310.0
1016,2300.0
5132,2288.0
15247,2282.0
918,2277.0
2685,2275.0
8014,2268.0
13224,2261.0
3926,2236.0
1657,2236.0
11789,2226.0
12751,2220.0
8305,2214.0
476,2208.0
7661,2200.0
5339,2196.0
5562,2187.0
5222,2184.0
13408,2184.0
13984,2178.0
5001,2173.0
7852,2170.0
7377,2163.0
5070,2160.0
3683,2156.0
9784,2156.0
13264,2136.0
3204,2135.0
8290,2112.0
7840,2100.0
4991,2091.0
12247,2088.0
12815,2080.0
13505,2079.0
8863,2068.0
2504,2068.0
7480,2064.0
11803,2059.0
5913,2052.0
10558,2050.0
4718,2025.0
1264,2024.0
5763,2024.0
204,2021.0
4469,2002.0
2466,2001.0
9650,2000.0
7116,1998.0
5701,1998.0
13452,1995.0
13885,1976.0
9694,1968.0
3651,1938.0
3391,1936.0
14833,1936.0
1675,1932.0
4015,1932.0
7588,1925.0
14479,1925.0
12816,1925.0
11211,1924.0
14951,1920.0
3868,1898.0
9905,1898.0
4433,1888.0
981,1887.0
1485,1872.0
16021,1872.0
13348,1870.0
11228,1862.0
3541,1860.0
3852,1856.0
9850,1856.0
15635,1856.0
13475,1856.0
14964,1854.0
6940,1848.0
12220,1848.0
16083,1845.0
2490,1840.0
1169,1836.0
7442,1830.0
10802,1809.0
14312,1805.0
14648,1804.0
4942,1800.0
3217,1792.0
12168,1785.0
426,1771.0
13645,1767.0
2947,1764.0
7923,1755.0
15123,1742.0
12464,1728.0
1638,1728.0
6649,1725.0
8102,1720.0
3603,1717.0
6418,1716.0
2596,1710.0
6087,1708.0
4582,1701.0
10266,1700.0
7303,1694.0
12760,1690.0
10715,1684.0
10849,1680.0
15428,1675.0
3919,1665.0
1515,1660.0
7053,1660.0
13644,1653.0
13438,1650.0
13878,1650.0
1307,1650.0
10970,1640.0
754,1634.0
3340,1632.0
10882,1620.0
6782,1615.0
6864,1612.0
5377,1610.0
6583,1602.0
9908,1600.0
7968,1600.0
8605,1596.0
9087,1596.0
4170,1580.0
9372,1575.0
815,1568.0
13449,1560.0
3569,1554.0
12465,1547.0
3924,1540.0
5700,1540.0
9367,1540.0
6214,1540.0
3085,1533.0
11548,1525.0
9594,1521.0
8813,1521.0
10762,1520.0
6791,1520.0
14431,1508.0
3017,1496.0
4267,1491.0
15683,1480.0
8000,1476.0
8973,1475.0
15696,1464.0
6330,1463.0
2355,1463.0
7477,1460.0
11434,1458.0
3628,1449.0
14721,1443.0
16057,1440.0
3062,1430.0
8490,1420.0
6626,1410.0
4120,1408.0
75,1407.0
9948,1406.0
15758,1406.0
13693,1404.0
394,1400.0
8146,1400.0
14694,1394.0
8617,1392.0
12035,1386.0
14609,1360.0
3325,1350.0
931,1350.0
15129,1344.0
7824,1344.0
4651,1343.0
6766,1338.0
4238,1312.0
1382,1311.0
10922,1309.0
9813,1305.0
15057,1305.0
16104,1305.0
3418,1302.0
11915,1300.0
4985,1300.0
2336,1295.0
636,1292.0
4467,1288.0
9338,1287.0
15730,1285.0
13707,1275.0
3059,1274.0
6459,1274.0
2676,1265.0
252,1260.0
4509,1260.0
4824,1242.0
8086,1242.0
13021,1232.0
11940,1225.0
4220,1224.0
15284,1222.0
1013,1220.0
13253,1209.0
1375,1197.0
11195,1197.0
10935,1190.0
13014,1189.0
5185,1188.0
3677,1184.0
9956,1176.0
8623,1170.0
1666,1170.0
8551,1168.0
9872,1155.0
10962,1155.0
11220,1150.0
4575,1144.0
8417,1140.0
12601,1140.0
7403,1134.0
921,1128.0
4360,1122.0
14052,1116.0
6656,1116.0
1463,1111.0
11466,1107.0
14729,1104.0
12289,1102.0
16155,1100.0
7153,1100.0
5256,1100.0
1031,1100.0
9095,1089.0
5735,1089.0
15830,1081.0
5095,1079.0
637,1071.0
83,1071.0
3446,1071.0
8730,1056.0
4205,1054.0
601,1050.0
10927,1050.0
3364,1044.0
6035,1044.0
5611,1040.0
1857,1036.0
13235,1032.0
12712,1026.0
15810,1026.0
1843,1026.0
10339,1020.0
3441,1015.0
8372,1015.0
15112,1008.0
8269,1008.0
14037,1008.0
4978,1000.0
490,999.0
12024,999.0
14329,999.0
4977,992.0
48,992.0
16206,990.0
1957,987.0
13151,987.0
12517,986.0
16360,986.0
5297,984.0
3149,984.0
1715,980.0
12690,979.0
1835,975.0
1319,970.0
9287,969.0
1425,966.0
12598,962.0
12406,960.0
5318,960.0
6444,950.0
8986,948.0
9098,946.0
8857,945.0
13096,945.0
3582,945.0
13043,945.0
4372,931.0
242,930.0
10516,930.0
6971,925.0
12671,924.0
4545,924.0
5045,918.0
554,918.0
14328,912.0
5689,910.0
8187,904.0
4879,900.0
13972,899.0
7801,896.0
3513,896.0
7268,896.0
2958,896.0
1015,893.0
3643,888.0
5494,882.0
1898,882.0
16381,880.0
13801,880.0
3314,880.0
14605,880.0
1812,880.0
7316,872.0
11853,872.0
15487,868.0
7793,868.0
4451,868.0
11729,868.0
12544,864.0
926,860.0
14611,860.0
13175,858.0
10965,856.0
4858,854.0
13469,852.0
9295,846.0
13859,846.0
9602,842.0
1092,840.0
4684,840.0
11861,837.0
12577,837.0
977,832.0
7780,830.0
16043,828.0
13735,825.0
11428,825.0
11404,817.0
8792,817.0
6355,816.0
12868,812.0
9063,810.0
2566,810.0
4164,810.0
14400,810.0
11005,810.0
11443,808.0
9155,806.0
1159,804.0
11874,800.0
8093,799.0
16272,798.0
6506,798.0
8121,795.0
10642,795.0
3372,792.0
4141,792.0
15545,782.0
11238,780.0
6534,779.0
7089,777.0
290,775.0
2318,768.0
5711,768.0
7004,765.0
1503,765.0
8042,763.0
12333,762.0
2681,759.0
951,756.0
1700,756.0
6436,756.0
10613,754.0
1542,754.0
6328,752.0
16303,750.0
6413,750.0
1317,748.0
3273,748.0
10395,747.0
2531,744.0
8405,744.0
2838,741.0
11042,740.0
8691,736.0
6244,736.0
6532,728.0
12014,728.0
6847,728.0
16133,720.0
12222,720.0
1632,715.0
11465,715.0
13464,715.0
1693,715.0
203,714.0
14662,714.0
1292,714.0
835,713.0
13386,708.0
10348,708.0
7162,703.0
9152,703.0
3496,696.0
9980,690.0
10434,689.0
16172,684.0
15945,684.0
6599,684.0
7862,680.0
3080,675.0
15727,675.0
33,672.0
13184,672.0
3966,667.0
6246,666.0
6081,666.0
14499,660.0
10761,660.0
9672,660.0
5123,660.0
15375,660.0
8436,658.0
14963,656.0
2006,654.0
3502,651.0
7890,650.0
11974,648.0
2805,648.0
3109,648.0
8873,648.0
1054,648.0
6236,645.0
13061,644.0
4139,644.0
377,640.0
3297,640.0
4323,637.0
5714,637.0
14699,632.0
9123,630.0
2972,630.0
15294,630.0
9223,630.0
10698,630.0
7972,630.0
5363,630.0
577,627.0
10451,627.0
9844,627.0
6014,625.0
5401,624.0
7349,624.0
8918,624.0
